name;province;short_description;url;tagline;latitude;longitude
Banda Aceh;Aceh;Inilah ibu kota provinsi yang berada di ujung barat Nusantara. Sejarah mencatat Banda Aceh sebagai kota transit pelayaran internasional sekaligus pusat pendidikan, perdagangan;http://www.indonesia.travel/sites/site/494;Kota Bersejarah dan Wisata Tsunami Track;5.54655;95.31808
Pulau Weh;Aceh;Diapit oleh terumbu karang yang hidup dan menawan, Pulau Weh belum begitu tersentuh meskipun ukurannya tidak luas dan aksesnya mudah.;http://www.indonesia.travel/sites/site/41;-;5.841941;95.320708
Taman Nasional Gunung Leuser;Aceh;Taman Nasional Gunung Leuser biasa disingkat TNGL adalah salah satu Kawasan Pelestarian Alam di Indonesia seluas 1.094.692 hektar.;http://www.indonesia.travel/sites/site/258;Kemegahan dan Kekayaan Hutan Lebat Sumatera;3.7656;97.4817
Takengon;Aceh;Cobalah Anda datang ke Takengon dan nikmati Danau Laut Tawar. Dengan 4 hari di daerah ini adalah gabungan wisata bersepeda, renungan masa lalu, masa depan,...;http://www.indonesia.travel/sites/site/495;Kota di Atas Awan;4.613243;96.846714
Sabang;Aceh;Sabang adalah kota yang terletak di Pulau Weh dan merupakan pintu gerbang di kawasan ujung barat Indonesia.;http://www.indonesia.travel/sites/site/658;Pesona Keindahan Pulau Paling Barat Indonesia;5.888044;95.316529
Tapaktuan;Aceh;Tapaktuan adalah ibu kota dari Kabupaten Aceh Selatan, Provinsi Aceh. Kota ini memiliki luas 92,68 kmÂ² dengan jumlah penduduk sekira 22,343 jiwa.;http://www.indonesia.travel/sites/site/713;Kota Naga di Selatan Pulau Sumatera;3.265936;97.17706
Masjid Agung Baiturrahman;Aceh;Dengan dinding putih cerahnya dan kubah megah berwarna hitam, masjid agung berusia 130 tahun ini adalah bangunan yang indah.;http://www.indonesia.travel/sites/site/44;Fenomena Arsitektur Islami;5.51024;95.331
Pantai Iboih;Aceh;Perahu kayu nampak melayang diam di udara itu karena air laut yang sulit digambarkan beningnya membuat perahu seolah terbang.;http://www.indonesia.travel/sites/site/660;Bertambat pada Keindahan dan Petualangan di Pulau Weh;5.902779;95.217221
Pantai Sumur Tiga;Aceh;Pastikan kunjungan Anda saat ke Sabang menyambangi keindahan yang alami dan damai dari Pantai Sumur Tiga.;http://www.indonesia.travel/sites/site/723;Kristal di Pesisir Samudera yang Damai;5.89404;95.3373
Sungai Alas;Aceh;Sungai Alas mengalir langsung ke Samudera Hindia, memiliki arus yang luar biasa menarik perhatian penggemar arung jeram dari seluruh dunia.;http://www.indonesia.travel/sites/site/302;Mencicipi Pengarungan di Lebatnya Taman Nasional Gunung Leuser;3.99;97.34
Museum Tsunami Aceh;Aceh;Berlokasi di Jalan Iskandar Muda, Banda Aceh, museum ini buka setiap hari (kecuali Jumat) pukul 10.00-12.00 dan 15.00-17.00.;http://www.indonesia.travel/sites/site/659;Mengenang dan Meresapi Bencana Sarat Hikmah;5.548248;95.314842
Tugu Nol Kilometer Sabang;Aceh;Slogan terkenal “Dari Sabang sampai Merauke” dipopularkan Presiden Soekarno dari ucapan seorang perwira Belanda bernama Jenderal J.B. van Heutsz;http://www.indonesia.travel/sites/site/725;Simbol Perekat Nusantara di Batas Barat Tanah Air;5.906336;95.216732
Pantai Gapang;Aceh;Pantai Gapang di Kota Sabang, Pulau Weh, adalah salah satu pilihan wisata bahari saat Anda kunjungi saat bertandang ke Provinsi NAD;http://www.indonesia.travel/sites/site/661;Menikmati Wisata Bahari di Teluk Sabang;5.841941;95.320708
Pantai Cemara Indah;Aceh;Akhir pekan di Pantai Cemara Indah selalu ramai, masyarakat dari Kota Singkil dan sekitarnya menyempatkan diri untuk sekadar menikmati panorama di sini.;http://www.indonesia.travel/sites/site/1045;Menikmati Suguhan Panorama Pesisir di Singkil;0.2727;99.1948
Benteng Indra Patra;Aceh;Sebuah benteng peninggalan kerajaan Hindu pertama di Aceh masih dapat Anda lihat hingga saat ini dekat pantai Ujong Batee, Desa Ladong, Kecamatan Masjid Raya, Kabupaten Aceh Besar.;http://www.indonesia.travel/sites/site/666;Jejak Warisan Hindu-Budha di Tanah Rencong;5.410804;95.519739
Kepulauan Banyak;Aceh;Satu atau dua hari berada di Kepulauan Banyak tampaknya begitu singkat. Alam nan indah dipadu dengan ketentraman yang luar biasa adalah daya pikatnya.;http://www.indonesia.travel/sites/site/1042;Wajah Indah Pesisir Selatan Aceh;2.15858;97.27604
Taman Laut Rubiah;Aceh;Pulau Rubiah merupakan pulau cantik di ujung utara Pulau Sumatera. Tepatnya berada kawasan Pulau Weh, sebelah barat Kota Sabang. Pulau seluas 2.600 hektare ini memiliki keindahan bawah laut yang memesona;http://www.indonesia.travel/sites/site/1176;Menikmati Keindahan Bawah Laut Pulau Weh;0;0
Pantai Anoi Itam;Aceh;Hitam manis si Pantai Anoi Itam memiliki kecantikannya tersendiri di sisi timur Kota Sabang. Pantai ini berlokasi di Gampong Anoi Itam, Kecamatan Sukajaya, Kota Sabang, Pulau Weh, Provinsi NAD;http://www.indonesia.travel/sites/site/1195;Si Hitam Manis di Pulau Weh;0;0
Belitung;Bangka Belitung;Di lepas pantai timur Sumatera, diapit oleh Selat Gaspar dan Selat Karimata, berdiri sebuah pulau;http://www.indonesia.travel/sites/site/631;Pulaunya Laskar Pelangi;-2.8517;107.957
Pangkalpinang;Bangka Belitung;Terletak di pantai timur Pulau Bangka, Pangkalpinang adalah kota terbesar di Pulau Bangka sekaligus ibu kota Provinsi Kepulauan Bangka Belitung. Selain perannya sebagai pusat pemerintahan, kegiatan ekonomi, dan perdagangan;http://www.indonesia.travel/sites/site/635;Pintu Masuk ke Dalam Keindahan Bangka;-2.2132;106.135
Pantai Matras dan Parai Tenggiri;Bangka Belitung;Pantai Parai Tenggiri terletak di daerah Matras Sungailiat, sekitar 40 km dari Bandara Depati Amir, Pangkalpinang. Desa Sinar Baru, Kecamatan Sungailiat, Kabupaten Bangka;http://www.indonesia.travel/sites/site/290;-;-2.63;106.58
Pulau Lengkuas;Bangka Belitung;Tersebutlah sebuah pulau yang selain terkemuka keindahannya juga memiliki mercusuar yang berusia ratusan tahun. Adalah Pulau Lengkuas namanya, tempat dimana keindahan hamparan laut biru jernih bertabur batuan granit nan eksotik.;http://www.indonesia.travel/sites/site/901;Menikmati Keindahan Alam dari Mercusuar;-2.707122;106.41489
Muntok;Bangka Belitung;Siapa bilang Bangka Belitung hanya menawarkan wisata pantainya yang cantik nan eksotik? Selain wisata pantai dengan batuan granitnya yang spektakular itu, Anda sebenarnya dapat juga menikmati suguhan wisata sejarah;http://www.indonesia.travel/sites/site/899;Kota Tua Bersejarah di Bangka Barat;-2.009399;105.242729
Pantai Rambak;Bangka Belitung;Dari semua pantai yang ada di Pulau..;http://www.indonesia.travel/sites/site/970;Mengabadikan Sinar Pagi nan Menawan di Sungailiat;-2.258479;106.046677
Desa Gedong;Bangka Belitung;Kesederhanaan adalah jalan terpendek menuju kecantikanya begitu bunyi sebuah filosofi Yunani Kuno.;http://www.indonesia.travel/sites/site/904,;Jejak Arsitektur China Berusia Ratusan Tahun;-2.28781;106.063982
Gunung Menumbing;Bangka Belitung;Gunung Menumbing (355m) adalah gunung yang cukup tinggi di sekitar daerah Mentok (Barat Laut Bangka) berdiri sebagai memorial sejarah bangsa Indonesia. Penginapan yang dibagun di sini oleh Belanda tahun 1932;http://www.indonesia.travel/sites/site/291;-;-1.955187;105.183105
Museum Timah;Bangka Belitung;Wisata sejarah dan edukasi, inilah yang bisa Anda dapatkan saat mengunjungi Museum Timah di Pangkalpinang, Bangka Belitung;http://www.indonesia.travel/sites/site/902;Menelusuri Jejak Timah di Pulau Bangka Belitung;-2.2132;106.135
Pantai Tanjung Kelayang;Bangka Belitung;Imajinasi Anda tentang Bumi Laskar Pelangi pasti selalu mengenai pantai dengan bebatuan granit besar yang berdiri dipermukaan lautnya. Airnya jernih bergradasi biru toscha memperlihatkan terumbukarangnya yang masih sehat.;http://www.indonesia.travel/sites/site/1085;Suguhan Bingkai Alam Belitung nan Memukau;-2.56152;107.70194
Danau Kaolin;Bangka Belitung;Hamparan putih tanah kaolin yang ditambang akan membentuk cekungan-cekungan menganga. Begitu kontras karena air berwarna biru cerah mengisi cekungan layaknya langit sedang bercermin di Bumi;http://www.indonesia.travel/sites/site/1086;Lansekap Cantik untuk Objek Foto yang Apik;-2.78218;107.65381
Museum Kata Andrea Hirata;Bangka Belitung;Selamat datang di Museum Kata! Museum sastra pertama dan satu-satunya di Indonesia. Arahkan tujuan Anda ke Jalan Laskar Pelangi No. 7, Gantung, Belitung Timur, Provinsi Bangka Belitung.;http://www.indonesia.travel/sites/site/1202;Museum Kata Andrea Hirata: Jendela Inspirasi untuk Bermimpi;0;0
Pantai Tanjung Binga;Bangka Belitung;Pantai Tanjung Binga perlu masuk dalam tujuan persinggahan Anda saat berwisata ke Provinsi Bangka Belitung. Letaknya di Kecamatan Sijuk sekira 20 kilometer arah utara dari Kota Tanjung Pandan ;http://www.indonesia.travel/sites/site/1204;Menikmati Desa Nelayan Bugis di Belitung;0;0
Benteng Marlborough;Bengkulu;Benteng Marlborough (Fort Marlborough) bukan hanya merupakan benteng pertahanan daerah kekuasaan Inggris di kawasan pantai barat Sumatera tapi juga tempat untuk mempertahankan Bengkulu;http://www.indonesia.travel/sites/site/304;-;-3.8;-3.8,102.26
Danau Mas Harun Bastari;Bengkulu;Tak henti-hentinya mobil menelusuri medan berkelok di sepanjang jalur lintas Curup-Lubuk Linggau. Jalur ini dilalui saat Anda memilih transportasi darat dari Lubuk Linggau menuju Kota Bengkulu.;http://www.indonesia.travel/sites/site/1028;Bersantai Menikmati Panorama Indah di Rejang Lebong;-3.36866;102.47498
Pantai Panjang;Bengkulu;Keistimewaan pantai ini adalah memiliki garis pantai yang sangat panjang mencapai 7 km. Di sini Anda akan mendapatkan garis pasang dan garis surut pantai sekitar 500 meter.;http://www.indonesia.travel/sites/site/688;Keunikan Garis Pantai yang Panjang;-3.79657;102.25183
Rumah Pengasingan Bung Karno di Bengkulu;Bengkulu;Di bangku sekolah Anda pastinya mengetahui tentang pengasingan Ir. Soekarno di Bengkulu pada 1938-1942.;http://www.indonesia.travel/sites/site/687;Kenangan dari Bapak Pendiri Bangsa;-3.799852;102.261131
Kota Bengkulu;Bengkulu;Bengkulu, ibu kota dan sekaligus kota terbesar di Provinsi Bengkulu, tidak hanya pusat pemerintahan provinsi tetapi juga kota penting dalam sejarah Indonesia;http://www.indonesia.travel/sites/site/912;Jejak Inggris di Sumatera;-3.795337;102.259228
Pantai Tapak Paderi;Bengkulu;Provinsi Bengkulu yang berbatasan langsung dengan Samudera Indonesia memiliki garis pantai yang panjang dan menawan. Jika Anda berkunjung ke Bengkulu maka wajib mengunjungi salah satu tujuan wisata favorit masyarakat Bengkulu.;http://www.indonesia.travel/sites/site/694;Menikmati Keindahan Pantai di Kota Bengkulu;-3.785247;102.251316
Pulau Tikus;Bengkulu;Pulau Tikus adalah salah satu destinasi wisata bahari andalan di Bengkulu yang lokasinya terletak di sebelah barat ibu kota Bengkulu.;http://www.indonesia.travel/sites/site/975;Kecantikan Pulau Kecil Pemecah Gelombang;-4.004;101.039658
Danau Dendam Tak Sudah;Bengkulu;Mendengar nama danau ini kemungkinan besar akan menggelitik rasa ingin tahu Anda. Danau Dendam Tak Sudah begitu masyarakat Bengkulu mengenalnya.;http://www.indonesia.travel/sites/site/909;Menemukan Kedamian yang Tidak Berakhir di Bengkulu;-3.464181;102.531234
Kota Curup;Bengkulu;Suhu sedingin 18 derajat celcius menyambut pagi di Kota Curup, ibukota Kabupaten Rejang Lebong, Provinsi Bengkulu. Ladang-ladang masih diselimuti kabut sehingga buah dan sayur yang ditanam berpetak-petak terlihat samar;http://www.indonesia.travel/sites/site/1026;Menikmati Keindahan Lembah Dataran Tinggi Sumatera;-2.76638;101.80206
Bukit Kaba;Bengkulu;Hamparan hijau di kaki Bukit Kaba benar-benar memanjakan mata, warna-warni buah dan sayur mayur yang tumbuh di sana membuat lansekap alam kian memikat;http://www.indonesia.travel/sites/site/1027;Mengakrabkan Diri dengan Alam Rejang Lebong;-3.41253;102.58484
Suban Air Panas;Bengkulu;Mata air dari Bukit Kaba mengalir ke kolam pemandian melalui saluran air yang dilengkapi sistem pengaturan suhu. Airnya yang jernih dan terasa hangat menebarkan rayuan agar orangdatang menghampiri untuk berendam;http://www.indonesia.travel/sites/site/1034;Menikmati Alam Sembari Berendam;-3.01874;102.24701
Museum Negeri Bengkulu;Bengkulu;"Meluhurkan museum, memuliakan kebudayaan"".<br />Kebudayaan dan museum adalah dua hal tak terpisahkan. Di dalam museum, tersimpan jejak-jejak kebudayaan dari masa ke masa, dalam bentuk benda budaya";http://www.indonesia.travel/sites/site/967;Menelusuri Kekayaan Benda Budaya;-3.538093;102.352524
Sungai Air Berau;Bengkulu;Sungai Air Berau yang berada di bantaran Jalan Lintas Barat (Jalinbar) Bengkulu memiliki kejernihan air dan pesona alamnya yang indah. Sungai ini berjarak sekira 30 kilometer dari  Mukomuko;http://www.indonesia.travel/sites/site/1201;Sensasi Arung Jeram di Belantara Hutan Bengkulu;0;0
Gunung Kerinci;Jambi;Gunung Kerinci merupakan gunung api tertinggi di Indonesia yang dikelilingi hutan Taman Nasional Kerinci Seblat dan juga merupakan bagian dari pegunungan Bukit Barisan;http://www.indonesia.travel/sites/site/371;Ayo Mendaki ke Atap-nya Pulau Sumatera;-1.84813;101.376
Danau Kaco;Jambi;Sebongkah intan berlian terbenam di dalam danau membiaskan warna biru pekat layaknya panorama samudera. Danau semakin cantik tatkala aura seorang putri memantul di sana;http://www.indonesia.travel/sites/site/984;Air Sebening Kaca, Berkilau saat Gelap Gulita;102.4380581;-1.4851831
Danau Kerinci;Jambi;Pemandangan di sekitar danau ini begitu menawan. Mata Anda tak akan bosan melihat hamparan air yang jernih dilatarbelakangi barisan pegunungan yang anggun;http://www.indonesia.travel/sites/site/504;-;-8.39178;119.349
Candi Muarojambi;Jambi;Situs Kepurbakalaan Muarojambi merupakan tempat peninggalan purbakala terluas di Indonesia, membentang dari Barat ke Timur sejauh 7,5 km di Tepian Sungai Batang Hari;http://www.indonesia.travel/sites/site/64;Meresapi Komplek Percandian Terluas di Pulau Sumatera;-1.69;102.88
Jambi;Jambi;Berdiam di pantai timur Pulau Sumatera, Jambi adalah sebuah kota yang namanya sama dengan nama provinsinya;http://www.indonesia.travel/sites/site/928;Pintu Gerbang Menikmati Pesona Provinsi Jambi;-1.34021;102.485046
Danau Gunung Tujuh;Jambi;Danau Gunung Tujuh adalah danau yang indah dan unik di Indonesia. Danau ini berada di puncak Gunung Tujuh dan menjadi salah satu danau kaldera tertinggi di Asia Tenggara;http://www.indonesia.travel/sites/site/724;Danau Para Dewa yang Menyimpan Pesona Sekaligus Misteri;-1.701944;101.41674
Perkebunan Teh Kayu Aro;Jambi;Teh, adalah salah satu jenis minuman paling digemari hampir sebagian besar penduduk dunia;http://www.indonesia.travel/sites/site/951;Menikmati Keindahan Alam dan Secangkir Teh Nikmat dari Perkebunan Teh Tertua di Indonesia;-2.056405;101.388302
Taman Nasional Bukit Duabelas Jambi;Jambi;Pulau Sumatera merupakan surga hutan rimba di Indonesia selain Kalimantan. Bahkan, hutan-hutan di Sumatera ini merupakan salah satu cagar biosfer penting di dunia.;http://www.indonesia.travel/sites/site/930;Berinteraksi dengan Suku Anak Dalam;-1.900286;102.715874
Air Terjun Telun Berasap, Keindahan Terselip di Lebatnya Taman Nasional Kerinci Seblat;Jambi;Selesai menjejakkan kaki di Gunung Kerinci atau selepas menikmati cita rasa Teh Kayu Aro ditemani panorama perkebunan maka berikutnya Anda dapat menjemput keindahan lain di Kabupaten Kerinci;http://www.indonesia.travel/sites/site/977;-;-1.694566;101.383181
Air Panas Semurup;Jambi;Bumi Kerinci menyimpan kejutan;http://www.indonesia.travel/sites/site/986;Terbaik dari Banyak Sumber Air Panas di Kerinci;101.376;-8.39178
Bukit Kayangan;Jambi;Decak kagum tak henti terlontar ketika menyentuh Kabupaten Kerinci. Perbukitan hijau memagari jalan raya, sawah-sawah nan subur mempercantik semesta;http://www.indonesia.travel/sites/site/988;Menggapai Keindahan Kerinci dari Langit;-0.93337;100.64987
Kota Sungai Penuh;Jambi;Mobil travel berkendara sejauh kurang lebih 420 kilometer dari pusat Kota Jambi. Mulai dari jalanan mulus hingga jalanan berbatu telah dilewati selama 10 jam. Lampu-lampu berkilauan dari kejauhan;http://www.indonesia.travel/sites/site/1031;Kota Berselimut Hutan Lebat;-2.17134;101.31592
Menara Gentala Arasy;Jambi;Riak-riak Sungai Batanghari membawa perahu kecil bergerak ke tepian Kota Jambi, mengantarkan penumpang ke dermaga yang terletak di kaki menara tertinggi;http://www.indonesia.travel/sites/site/1157;Tahta Indah di Bantaran Sungai Batanghari;-1.58542;103.61468
Pulau Bintan;Kepulauan Riau;Bintan adalah pulau terbesar di Kepulauan Riau yang melebar dari Malaka ke Laut China Selatan dan memiliki sekiraÂ  3.000 pulau besar dan kecil;http://www.indonesia.travel/sites/site/63;Keindahan Pulau Tropis di Mulut Selat Malaka;1.05;104.32
Batam;Kepulauan Riau;Ketika Anda melihat dari menara tinggi di Singapura ke seberangnya di negara kita akan tampak Pulau Batam dan Bintan yang berkilau ;http://www.indonesia.travel/sites/site/486;Kota Menawan di Seberang Singapura;1.045633;104.030453
Pulau Galang;Kepulauan Riau;Good bye, Galang Camp. Begitulah kalimat yang tertera pada sebuah lukisan di beranda Museum Sejarah Kemanusiaan.;http://www.indonesia.travel/sites/site/79;Menapaki Sejarah Pulau Pengungsi Vietnam;1.05;104.01
Anambas;Kepulauan Riau;Inilah surga bahari berupa gugusan kepulauan tropis terbaik di Asia. Anambas merupakan sebuah kabupaten berwujud kepulauan tropis seluas 46.667 km2;http://www.indonesia.travel/sites/site/1077;Kepulauan Tropis Terbaik di Asia;3.10616;105.65341
Pantai Trikora;Kepulauan Riau;Pantai pasir putih membentang panjang dihiasi batu-batu besar yang tersebar di pinggiran lautnya. Garis pantainya mencapai 25 kilometer, bersanding di tengah semilir angin yang meniup ribuan pohon kelapa.;http://www.indonesia.travel/sites/site/1082;Menggapai Keindahan Pesisir Pulau Bintan;1.02878;104.65569
Coastarina;Kepulauan Riau;Coastarina terletak di Pasir Putih, Batam Center, Batam, Kepulauan Riau. Tempat ini adalah tujuan wisata baru yang diresmikan oleh Presiden Susilo Bambang Yudhoyono;http://www.indonesia.travel/sites/site/173;-;1.04;104.03
Pulau Abang Kecil;Kepulauan Riau;Berkunjung ke Pulau Abang tidak lengkap jika Anda tidak menyebrang ke Pulau Abang Kecil yang merupakan salah satu dari gugusan Kepulauan Abang.;http://www.indonesia.travel/sites/site/738;Selaksa Keindahan di Kepulauan Riau;0.593938;104.199829
Pantai Melur;Kepulauan Riau;Indonesia memang kaya akan panorama pantainya, salah satunya yang patut Anda kunjungi adalah Pantai Melur yang terletak di sisi barat Pulau Galang;http://www.indonesia.travel/sites/site/149;Pantai Jernih Manusia Perahu;0.77;104.25
Kepulauan Karimun;Kepulauan Riau;Terletak di sebelah barat Singapura dan Batam, Kepulauan Karimun berada di jalur pelayaran yang sibuk yaitu Selat Malaka.;http://www.indonesia.travel/sites/site/887;Kecantikan Bahari di Selat Malaka;1.051882;103.370247
Bintan Mangrove;Kepulauan Riau;Tidak jauh dari kawasan wisata Bintan Resort yang begitu luas, terdapat hutan bakau yang dibelah oleh sungai berkelok-kelok.;http://www.indonesia.travel/sites/site/1073;Menyusuri Sungai Sebong dan Mengamati Kunang-Kunang;1.13643;104.3364
Pantai Pelawan;Kepulauan Riau;Pantai ini terletak di Pangke, Meral, Tanjung Balai Karimun, Provinsi Kepulauan Riau, pantai Pelawan adalah tempat yang tepat bagi Anda untuk menemukan inspirasi dan kedamaian;http://www.indonesia.travel/sites/site/127;-;0.91;103.44
Ria Bintan Golf;Kepulauan Riau;Resor Ria Bintan merupakan resor sekaligus lapangan golf di Bintan yang berada di antara pantai berpasir putih dan air jernih biru kehijauan.;http://www.indonesia.travel/sites/site/265;Ayo Bermain Golf di Pulau Tropis nan Indah;1.10085;104.439
Area Super Blok Nagoya;Kepulauan Riau;Jika Anda suka berbelanja, Anda harus mengunjungi kompleks perbelanjaan di Super Blok Nagoya di Batam, di provinsi Kepulauan Riau.;http://www.indonesia.travel/sites/site/207;-;1.04;104.03
Tanjung Pinang;Kepulauan Riau;Di ujung selatan Pulau Bintan terbentang kawasan dataran rendah yang dihiasi rawa dan hutan bakau. Hampir tidak terdapat perbukitan sehingga pemukiman penduduk terpusat di sini.;http://www.indonesia.travel/sites/site/1083;Gerbang Keindahan Bintan dan Jejak Sejarah Kesultanan Johor-Riau;0.91754;104.44696
Nirwana Gardens;Kepulauan Riau;Nirwana Gardens merupakan resor sekaligus kawasan wisata terpadu dengan luas lebih dari 300 hektare yang berlokasi di Pulau Bintan.;http://www.indonesia.travel/sites/site/1080;Rekreasi Memuaskan di Pantai Legoi Bintan;1.1786;104.32027
Bintan Lagoon Resort;Kepulauan Riau;Selain Nirwana Garden, kawasan resor terpadu di Pulau Bintan adalah Bintan Lagoon Resort.;http://www.indonesia.travel/sites/site/1084;Berlibur Bersama Keluarga di Pulau Bintan;1.17731;104.36422
Fasilitas Rapat dan Konvensi di Batam;Kepulauan Riau;Pulau Batam merupakan bagian dari Kepulauan Riau yang terletak di pantai timur Sumatera.;http://www.indonesia.travel/sites/site/589;-;1.10859;104.032
Pulau Nikoi;Kepulauan Riau;Pulau Bintan terus memukau wisatawan melalui bentangan alamnya. Anda akan terpesona sejak melihat cantiknya Pantai Trikora yang memancarkan warna biru jernih di bawah teriknya Matahari.;http://www.indonesia.travel/sites/site/1141;Surga Pulau Tropis di Laut China Selatan;1.05192;104.70902
Planet Holiday Hotel Batam;Kepulauan Riau;Galaxy Grand Ballroom tanpa pilar dengan luas 1.222 meter persegi menyediakan tempat konvensi dan fasilitas perjamuan.;http://www.indonesia.travel/sites/site/271;-;0.9952;104.037
Makam Raja Ali Haji;Kepulauan Riau;Bapak Bahasa Melayu Indonesia. Begitulah sapaan untuk Raja Ali Haji, pria kelahiran tahun 1808 dari Selangor itu telah berkontribusi besar melahirkan pedoman tata bahasa melayu;http://www.indonesia.travel/sites/site/161;Menyambangi Tempat Peristirahatan Terakhir Bapak Bahasa Indonesia;1.06241;104.041
Angsana Spa;Kepulauan Riau;Di ruangan terbuka yang indah atau ruang perawatan yang nyaman, tubuh dan pikiran Anda akan ditenangkan melalui relaksasi yang diberikan oleh terapis profesional yang terampil.;http://www.indonesia.travel/sites/site/360;-;1.05;104.32
Banyan Tree Spa;Kepulauan Riau;Bayan Tree Spa terletak di dalam sebuah teluk terpencil di sudut utara Pulau Bintan, Banyan Tree Spa terletak di penginapan terpencil Banyan Tree Bintan.;http://www.indonesia.travel/sites/site/356;-;1.05;104.32
Bay Golf & Country Club;Kepulauan Riau;Pulau Batam hanya berjarak 20 km atau 30 menit dengan kapal feri ber-AC dari Singapura. Tering Bay Resort terletak di atas lahan yang dikelilingi air di Tering Bay;http://www.indonesia.travel/sites/site/362;-;1.05;104.01
Pulau Abang;Kepulauan Riau;Penggemar diving wajib mengunjungi Pulau Abang karena di sinilah tersimpan taman laut dengan kekayaan terumbu karang ditemani beragam biota laut penuh warna.;http://www.indonesia.travel/sites/site/707;Melihat Terumbu Karang Langka di Air yang Jernih;0.578513;104.198903
Pulau Penyengat;Kepulauan Riau;Pulau Penyengat adalah pulau kecil berjarak sekira 2 km di seberang Tanjung Pinang, ibu kota Provinsi Kepulauan Riau.;http://www.indonesia.travel/sites/site/921;Jelajahi Ragam Jejak Kesultanan Johor-Riau;0.929656;104.418458
Masjid Sultan Riau;Kepulauan Riau;Masjid ini berlokasi di Pulau Penyengat, Tanjung Pinang, Provinsi Kepulauan Riau (KEPRI). Pulau Penyengat sendiri merupakan pulau kecil seluas 3,5 kilometer persegi;http://www.indonesia.travel/sites/site/896;Masjid Pertama di Indonesia yang Memakai Kubah;3.945883;108.142868
Treasure Bay;Kepulauan Riau;Inilah tujuan wisata terbaru yang menarik untuk disambangi dilengkapi berbagai atraksi dan akomodasi berkelas terus bermunculan di Pulau Bintan.;http://www.indonesia.travel/sites/site/1178;Tempat Rekreasi Sempurna di Selat Malaka;0;0
Bandar Lampung;Lampung;Bertengger di perbukitan yang menghadap ke Teluk Lampung, Bandar Lampung adalah ibu kota provinsi Lampung sekaligus kota terbesar di provinsi paling selatan Pulau Sumatera.;http://www.indonesia.travel/sites/site/607;Pintu Gerbang Selatan Sumatera;-5.44997;105.267
Cagar Alam Kepulauan Krakatau;Lampung;Sejarah mencatat sebuah becana besar tahun 1883 ketika Gunung Krakatau meletus dahsyat dan memengaruhi kondisi iklim dunia.;http://www.indonesia.travel/sites/site/621;Warisan Alam Gunung Purba Krakatau;-6.11284;105.418
Taman Nasional Way Kambas;Lampung;Taman Nasional Way Kambas (TNWK) berlokasi di ujung selatan Pulau Sumatera, 110 km dari Kota Bandar Lampung.;http://www.indonesia.travel/sites/site/611;Tempat Penangkaran dan Taman Bermain Gajah Sumatera;-5.09286;105.663
Teluk Kiluan;Lampung;-;http://www.indonesia.travel/sites/site/892;Menyaksikan Parade Lumba-Lumba di Teluk Tropis yang Indah;-5.746491;105.114326
Pantai Pasir Putih Lampung;Lampung;Pantai Pasir Putih benar-benar menggambarkan suasana yang menggoda dan menyegarkan mata dan jiwa Anda.;http://www.indonesia.travel/sites/site/402;-;-5.52;105.35
